Job Title,Rating,Company Name,Type of ownership,Industry,Sector,max_salary,avg_salary,avg_size,city,state,age,python_yn,R_yn,spark_yn,aws_yn,hadoop_yn
Data Science Intern,4.5,US Electrical Services,Company - Private,Wholesale,Business Services,220,179.5,3000.5,Connecticut,CT,14,1,0,0,0,0
"Associate, Data Sciences II",3.9,AbbVie,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,220,179.5,10000.0,Crystal Lake,IL,7,0,0,0,0,0
Data Science Division - Research Analyst,3.3,CNA Corporation,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense,220,179.5,750.5,Arlington,VA,78,1,0,0,0,0
Mentor Waitlist - Data Science Course (Part-Time/Online),4.5,Springboard,Company - Private,Education Training Services,Education,220,179.5,125.5,Remote,Remote,7,1,0,0,0,0
Data Science Analyst,3.5,Logicalis,Company - Private,IT Services,Information Technology,220,179.5,3000.5,West Chester,OH,32,1,0,1,1,1
Head of Data Science & Analytics - Digital Health R&D Oncology,4.0,AstraZeneca,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,220,179.5,10000.0,Gaithersburg,MD,107,0,0,0,1,0
Data Science Analyst,4.5,Torch Technologies,Company - Private,Aerospace & Defense,Aerospace & Defense,220,179.5,3000.5,Huntsville,AL,18,1,0,0,0,0
Data Science,-1.0,ARV Systems Inc,Company - Public,-1,-1,220,179.5,25.5,Bloomington,IL,1,1,0,1,0,1
Data Science Analyst,3.5,Leidos,Company - Public,Aerospace & Defense,Aerospace & Defense,220,179.5,10000.0,McLean,VA,51,0,0,0,1,0
Data Science Intern,-1.0,The Buttonwood Tree,-1,-1,-1,220,179.5,-1.0,New York,NY,-1,1,0,0,0,0
"Product Analytics Lead, Data Science",4.4,Google,Company - Public,Internet,Information Technology,220,179.5,10000.0,New York,NY,22,0,0,0,0,0
Director of Data Science,4.8,KnowBe4,Company - Private,IT Services,Information Technology,220,179.5,750.5,Clearwater,FL,10,1,0,1,1,0
Data Science - Intern,-1.0,Sonde Health,Private Practice / Firm,Health Care Services & Hospitals,Health Care,220,179.5,25.5,Boston,MA,-1,1,0,0,0,0
Data Science,4.2,IT America,Company - Private,IT Services,Information Technology,220,179.5,350.5,Louisville,KY,16,0,0,0,0,0
"Data Science Manager, Payment Acceptance - USA",4.0,Stripe,Company - Private,Internet,Information Technology,220,179.5,3000.5,San Francisco,CA,10,1,0,0,0,0
Data Science Researcher,4.5,Teikametrics,Company - Private,Internet,Information Technology,220,179.5,125.5,Boston,MA,8,1,0,0,0,0
Data Science All Star Program - Marketing Analytics Track,4.6,Blend360,Company - Private,Consulting,Business Services,220,179.5,125.5,Columbia,MD,18,0,0,0,0,0
Data Science Instructor,4.5,Novetta,Company - Private,Enterprise Software & Network Solutions,Information Technology,220,179.5,750.5,Herndon,VA,8,0,0,0,0,0
Data Science Engineer,4.9,Epic,Company - Private,Internet,Information Technology,220,179.5,125.5,Redwood City,CA,6,1,0,1,0,1
Data Science Software Engineer,4.8,Klaviyo,Company - Private,Computer Hardware & Software,Information Technology,125,105.5,350.5,Boston,MA,8,1,0,0,0,0
"Data Science Manager, Connect",4.0,Stripe,Company - Private,Internet,Information Technology,125,105.5,3000.5,San Francisco,CA,10,1,0,0,0,0
"Research Data Science Intern, Summer",3.8,Arrowstreet Capital,Company - Private,Investment Banking & Asset Management,Finance,125,105.5,25.5,Boston,MA,-1,1,0,0,0,0
"Analyst, Data Science, Solaria Labs",3.4,Liberty Mutual Insurance,Company - Private,Insurance Carriers,Insurance,125,105.5,10000.0,Boston,MA,108,1,0,0,1,1
"Principal Associate, Data Science",3.9,Capital One,Company - Public,Banks & Credit Unions,Finance,125,105.5,10000.0,Plano,TX,26,1,0,1,1,0
Data Science Engineer,4.1,Apple,Company - Public,Computer Hardware & Software,Information Technology,125,105.5,10000.0,Austin,TX,44,1,0,0,0,0
Data Science Analyst,2.7,Collins Consulting Inc,Company - Private,Consulting,Business Services,125,105.5,350.5,Norfolk,VA,28,0,0,0,1,0
Data Analyst - Data Science,3.3,Gopuff,Company - Private,Express Delivery Services,Transportation & Logistics,125,105.5,3000.5,Philadelphia,PA,7,1,0,0,1,1
DATA SCIENCE INTERNSHIP,-1.0,Atlas General Insurance Svcs,-1,-1,-1,125,105.5,-1.0,San Diego,CA,-1,1,0,0,0,0
Data Science Specialist USA,3.3,Mphasis limited,Company - Public,Computer Hardware & Software,Information Technology,125,105.5,10000.0,New York,NY,28,0,0,0,0,0
Associate Clinical Data Sciences,3.7,Lilly,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,125,105.5,10000.0,Indianapolis,IN,144,1,0,0,0,0
"Director, Data Science",3.8,Marqeta,Company - Private,Financial Transaction Processing,Finance,125,105.5,350.5,Remote,Remote,10,0,0,0,1,0
Summer Data Science Intern,4.5,Øptimus,Company - Private,-1,-1,125,105.5,25.5,Alexandria,VA,-1,1,0,0,0,0
Data Science Analyst,-1.0,Greater New York Mutual Insurance Companies (GNY),-1,-1,-1,125,105.5,-1.0,New York,NY,-1,1,0,0,0,0
